,id,price,category,size,availability,date,country_code
63575,HP9426,60.0,sneakers,36,0,07/01/2025,DE
63576,HP9426,60.0,sneakers,36 2/3,0,07/01/2025,DE
63577,HP9426,60.0,sneakers,37 1/3,0,07/01/2025,DE
63578,HP9426,60.0,sneakers,38,0,07/01/2025,DE
63579,HP9426,60.0,sneakers,38 2/3,1,07/01/2025,DE
63580,HP9426,60.0,sneakers,39 1/3,15,07/01/2025,DE
63581,HP9426,60.0,sneakers,40,15,07/01/2025,DE
63582,HP9426,60.0,sneakers,40 2/3,15,07/01/2025,DE
63583,HP9426,60.0,sneakers,41 1/3,15,07/01/2025,DE
63584,HP9426,60.0,sneakers,42,15,07/01/2025,DE
63585,HP9426,60.0,sneakers,42 2/3,15,07/01/2025,DE
63586,HP9426,60.0,sneakers,43 1/3,15,07/01/2025,DE
63587,HP9426,60.0,sneakers,44,15,07/01/2025,DE
63588,HP9426,60.0,sneakers,44 2/3,15,07/01/2025,DE
63589,HP9426,60.0,sneakers,45 1/3,15,07/01/2025,DE
63590,HP9426,60.0,sneakers,46,15,07/01/2025,DE
63591,HP9426,60.0,sneakers,46 2/3,15,07/01/2025,DE
63592,HP9426,60.0,sneakers,47 1/3,15,07/01/2025,DE
63593,HP9426,60.0,sneakers,48,15,07/01/2025,DE
63594,HP9426,60.0,sneakers,49 1/3,0,07/01/2025,DE
63631,HQ4199,180.0,sneakers,39 1/3,11,07/01/2025,DE
63632,HQ4199,180.0,sneakers,40,15,07/01/2025,DE
63633,HQ4199,180.0,sneakers,40 2/3,15,07/01/2025,DE
63634,HQ4199,180.0,sneakers,41 1/3,15,07/01/2025,DE
63635,HQ4199,180.0,sneakers,42,15,07/01/2025,DE
63636,HQ4199,180.0,sneakers,42 2/3,15,07/01/2025,DE
63637,HQ4199,180.0,sneakers,43 1/3,15,07/01/2025,DE
63638,HQ4199,180.0,sneakers,44,15,07/01/2025,DE
63639,HQ4199,180.0,sneakers,44 2/3,15,07/01/2025,DE
63640,HQ4199,180.0,sneakers,45 1/3,2,07/01/2025,DE
63641,HQ4199,180.0,sneakers,46,15,07/01/2025,DE
63642,HQ4199,180.0,sneakers,46 2/3,12,07/01/2025,DE
63643,HQ4199,180.0,sneakers,47 1/3,15,07/01/2025,DE
63644,HQ4199,180.0,sneakers,48,15,07/01/2025,DE
63645,HQ4199,180.0,sneakers,49 1/3,0,07/01/2025,DE
63646,HQ4199,180.0,sneakers,50 2/3,0,07/01/2025,DE
64031,JQ2552,160.0,sneakers,36,3,07/01/2025,DE
64032,JQ2552,160.0,sneakers,36 2/3,6,07/01/2025,DE
64033,JQ2552,160.0,sneakers,37 1/3,6,07/01/2025,DE
64034,JQ2552,160.0,sneakers,38,6,07/01/2025,DE
64035,JQ2552,160.0,sneakers,38 2/3,4,07/01/2025,DE
64036,JQ2552,160.0,sneakers,39 1/3,15,07/01/2025,DE
64037,JQ2552,160.0,sneakers,40,15,07/01/2025,DE
64038,JQ2552,160.0,sneakers,40 2/3,15,07/01/2025,DE
64039,JQ2552,160.0,sneakers,41 1/3,15,07/01/2025,DE
64040,JQ2552,160.0,sneakers,42,15,07/01/2025,DE
64041,JQ2552,160.0,sneakers,42 2/3,15,07/01/2025,DE
64042,JQ2552,160.0,sneakers,43 1/3,15,07/01/2025,DE
64043,JQ2552,160.0,sneakers,44,15,07/01/2025,DE
64044,JQ2552,160.0,sneakers,44 2/3,15,07/01/2025,DE
64045,JQ2552,160.0,sneakers,45 1/3,15,07/01/2025,DE
64046,JQ2552,160.0,sneakers,46,15,07/01/2025,DE
64047,JQ2552,160.0,sneakers,46 2/3,15,07/01/2025,DE
64048,JQ2552,160.0,sneakers,47 1/3,15,07/01/2025,DE
64049,JQ2552,160.0,sneakers,48,15,07/01/2025,DE
64050,JQ2552,160.0,sneakers,48 2/3,0,07/01/2025,DE
64051,JQ2552,160.0,sneakers,49 1/3,7,07/01/2025,DE
64052,JQ2552,160.0,sneakers,50 2/3,0,07/01/2025,DE
64125,JI1896,80.0,sneakers,35 1/2,2,07/01/2025,DE
64126,JI1896,80.0,sneakers,36,6,07/01/2025,DE
64127,JI1896,80.0,sneakers,36 2/3,0,07/01/2025,DE
64128,JI1896,80.0,sneakers,37 1/3,0,07/01/2025,DE
64129,JI1896,80.0,sneakers,38,0,07/01/2025,DE
64130,JI1896,80.0,sneakers,38 2/3,0,07/01/2025,DE
64131,JI1896,80.0,sneakers,39 1/3,2,07/01/2025,DE
64132,JI1896,80.0,sneakers,40,15,07/01/2025,DE
64133,JI1896,80.0,sneakers,40 2/3,1,07/01/2025,DE
64134,JI1896,80.0,sneakers,41 1/3,4,07/01/2025,DE
64135,JI1896,80.0,sneakers,42,0,07/01/2025,DE
64136,JI1896,80.0,sneakers,42 2/3,0,07/01/2025,DE
64137,JI1896,80.0,sneakers,43 1/3,0,07/01/2025,DE
64138,JI1896,80.0,sneakers,44,7,07/01/2025,DE
64139,JI1896,80.0,sneakers,44 2/3,1,07/01/2025,DE
64140,JI1896,80.0,sneakers,45 1/3,4,07/01/2025,DE
64141,JI1896,80.0,sneakers,46,0,07/01/2025,DE
64142,JI1896,80.0,sneakers,46 2/3,3,07/01/2025,DE
64143,JI1896,80.0,sneakers,47 1/3,0,07/01/2025,DE
64144,JI1896,80.0,sneakers,48,1,07/01/2025,DE
64145,JI1896,80.0,sneakers,48 2/3,0,07/01/2025,DE
64146,JI1896,80.0,sneakers,49 1/3,0,07/01/2025,DE
64245,IE8976,180.0,sneakers,39 1/3,5,07/01/2025,DE
64246,IE8976,180.0,sneakers,40,6,07/01/2025,DE
64247,IE8976,180.0,sneakers,40 2/3,15,07/01/2025,DE
64248,IE8976,180.0,sneakers,41 1/3,15,07/01/2025,DE
64249,IE8976,180.0,sneakers,42,15,07/01/2025,DE
64250,IE8976,180.0,sneakers,42 2/3,15,07/01/2025,DE
64251,IE8976,180.0,sneakers,43 1/3,15,07/01/2025,DE
64252,IE8976,180.0,sneakers,44,15,07/01/2025,DE
64253,IE8976,180.0,sneakers,44 2/3,15,07/01/2025,DE
64254,IE8976,180.0,sneakers,45 1/3,15,07/01/2025,DE
64255,IE8976,180.0,sneakers,46,15,07/01/2025,DE
64256,IE8976,180.0,sneakers,46 2/3,15,07/01/2025,DE
64257,IE8976,180.0,sneakers,47 1/3,11,07/01/2025,DE
64258,IE8976,180.0,sneakers,48,13,07/01/2025,DE
64259,IE8976,180.0,sneakers,49 1/3,0,07/01/2025,DE
64260,IE8976,180.0,sneakers,50 2/3,0,07/01/2025,DE
64289,HQ4202,180.0,sneakers,39 1/3,15,07/01/2025,DE
64290,HQ4202,180.0,sneakers,40,15,07/01/2025,DE
64291,HQ4202,180.0,sneakers,40 2/3,15,07/01/2025,DE
64292,HQ4202,180.0,sneakers,41 1/3,15,07/01/2025,DE
64293,HQ4202,180.0,sneakers,42,15,07/01/2025,DE
64294,HQ4202,180.0,sneakers,42 2/3,15,07/01/2025,DE
64295,HQ4202,180.0,sneakers,43 1/3,15,07/01/2025,DE
64296,HQ4202,180.0,sneakers,44,15,07/01/2025,DE
64297,HQ4202,180.0,sneakers,44 2/3,15,07/01/2025,DE
64298,HQ4202,180.0,sneakers,45 1/3,15,07/01/2025,DE
64299,HQ4202,180.0,sneakers,46,15,07/01/2025,DE
64300,HQ4202,180.0,sneakers,46 2/3,15,07/01/2025,DE
64301,HQ4202,180.0,sneakers,47 1/3,15,07/01/2025,DE
64302,HQ4202,180.0,sneakers,48,15,07/01/2025,DE
64303,HQ4202,180.0,sneakers,49 1/3,0,07/01/2025,DE
64304,HQ4202,180.0,sneakers,50 2/3,0,07/01/2025,DE
64393,IH5467,60.0,sneakers,36,15,07/01/2025,DE
64394,IH5467,60.0,sneakers,36 2/3,15,07/01/2025,DE
64395,IH5467,60.0,sneakers,37 1/3,15,07/01/2025,DE
64396,IH5467,60.0,sneakers,38,15,07/01/2025,DE
64397,IH5467,60.0,sneakers,38 2/3,15,07/01/2025,DE
64398,IH5467,60.0,sneakers,39 1/3,15,07/01/2025,DE
64399,IH5467,60.0,sneakers,40,15,07/01/2025,DE
64400,IH5467,60.0,sneakers,40 2/3,5,07/01/2025,DE
64401,IH5467,60.0,sneakers,41 1/3,12,07/01/2025,DE
64402,IH5467,60.0,sneakers,42,0,07/01/2025,DE
64403,IH5467,60.0,sneakers,42 2/3,0,07/01/2025,DE
64404,IH5467,60.0,sneakers,44,0,07/01/2025,DE
64681,JI1899,80.0,sneakers,35 1/2,1,07/01/2025,DE
64682,JI1899,80.0,sneakers,36,12,07/01/2025,DE
64683,JI1899,80.0,sneakers,36 2/3,7,07/01/2025,DE
64684,JI1899,80.0,sneakers,37 1/3,15,07/01/2025,DE
64685,JI1899,80.0,sneakers,38,15,07/01/2025,DE
64686,JI1899,80.0,sneakers,38 2/3,15,07/01/2025,DE
64687,JI1899,80.0,sneakers,39 1/3,15,07/01/2025,DE
64688,JI1899,80.0,sneakers,40,15,07/01/2025,DE
64689,JI1899,80.0,sneakers,40 2/3,15,07/01/2025,DE
64690,JI1899,80.0,sneakers,41 1/3,15,07/01/2025,DE
64691,JI1899,80.0,sneakers,42,15,07/01/2025,DE
64692,JI1899,80.0,sneakers,42 2/3,15,07/01/2025,DE
64693,JI1899,80.0,sneakers,43 1/3,15,07/01/2025,DE
64694,JI1899,80.0,sneakers,44,15,07/01/2025,DE
64695,JI1899,80.0,sneakers,44 2/3,15,07/01/2025,DE
64696,JI1899,80.0,sneakers,45 1/3,15,07/01/2025,DE
64697,JI1899,80.0,sneakers,46,15,07/01/2025,DE
64698,JI1899,80.0,sneakers,46 2/3,15,07/01/2025,DE
64699,JI1899,80.0,sneakers,47 1/3,15,07/01/2025,DE
64700,JI1899,80.0,sneakers,48,15,07/01/2025,DE
64701,JI1899,80.0,sneakers,48 2/3,15,07/01/2025,DE
64702,JI1899,80.0,sneakers,49 1/3,4,07/01/2025,DE
64924,IF9419,140.0,sneakers,40,0,07/01/2025,DE
64925,IF9419,140.0,sneakers,40 2/3,3,07/01/2025,DE
64926,IF9419,140.0,sneakers,41 1/3,12,07/01/2025,DE
64927,IF9419,140.0,sneakers,42,3,07/01/2025,DE
64928,IF9419,140.0,sneakers,42 2/3,5,07/01/2025,DE
64929,IF9419,140.0,sneakers,43 1/3,8,07/01/2025,DE
64930,IF9419,140.0,sneakers,44,5,07/01/2025,DE
64931,IF9419,140.0,sneakers,44 2/3,1,07/01/2025,DE
64932,IF9419,140.0,sneakers,45 1/3,0,07/01/2025,DE
64933,IF9419,140.0,sneakers,46,0,07/01/2025,DE
64934,IF9419,140.0,sneakers,46 2/3,0,07/01/2025,DE
64935,IF9419,140.0,sneakers,47 1/3,0,07/01/2025,DE
64936,IF9419,140.0,sneakers,48,0,07/01/2025,DE
64937,IF9419,140.0,sneakers,49 1/3,0,07/01/2025,DE
64938,IF9419,140.0,sneakers,50,0,07/01/2025,DE
65072,JI4476,160.0,sneakers,36,0,07/01/2025,DE
65073,JI4476,160.0,sneakers,36 2/3,0,07/01/2025,DE
